Date,ZillowNeighborhood,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),NON - CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,HUMAN TRAFFICKING,ZHVI,TotalCrime
2001-01,Albany Park,2,18,72,23,2,83,8,8,1,2,1,0,0,3,30,37,0,1,0,29,3,2,0,16,5,1,76,2,0,0,0,0,0,0,183200,425.0
2001-02,Albany Park,0,17,70,18,2,56,13,8,0,0,0,0,2,5,24,28,0,1,0,43,0,0,0,18,0,0,52,0,0,0,0,0,0,0,185700,357.0
2001-03,Albany Park,1,22,78,21,2,44,12,11,1,0,1,0,4,1,40,33,0,3,0,40,11,4,0,18,1,0,64,12,0,0,0,0,0,0,187900,424.0
2001-04,Albany Park,2,30,80,20,4,54,12,11,0,0,0,0,0,5,25,31,0,8,0,35,12,0,0,21,4,0,53,5,0,0,0,0,0,0,190100,412.0
2001-05,Albany Park,0,23,95,27,3,64,6,12,1,0,2,1,1,5,26,43,0,3,0,40,2,1,0,17,4,0,63,4,0,0,0,0,0,0,192200,443.0
2001-06,Albany Park,1,18,124,18,1,52,8,9,1,0,0,0,2,2,26,29,0,4,0,21,8,3,0,21,5,1,63,2,0,0,0,0,0,0,194300,419.0
2001-07,Albany Park,5,32,100,16,1,79,7,17,0,2,0,1,0,9,23,31,0,1,0,42,9,4,0,18,2,0,93,5,0,0,0,0,0,0,196400,497.0
2001-08,Albany Park,0,29,104,19,3,59,12,23,2,0,0,1,0,1,19,18,0,2,0,30,19,2,0,19,4,0,75,3,0,0,0,0,0,0,198300,444.0
2001-09,Albany Park,0,27,75,25,2,58,11,9,2,0,1,0,1,10,33,23,0,2,0,32,3,6,0,25,2,1,73,7,0,0,0,0,0,0,200000,428.0
2001-10,Albany Park,0,13,86,21,2,50,17,10,0,0,0,0,0,6,32,31,0,3,0,32,1,5,0,13,4,0,70,7,0,0,0,0,0,0,201800,403.0
2001-11,Albany Park,1,17,55,23,2,46,9,10,3,2,1,0,0,5,32,21,0,2,0,19,8,4,0,13,3,0,51,2,0,0,0,0,0,0,203400,329.0
2001-12,Albany Park,2,18,77,17,1,55,9,7,1,1,0,1,1,7,36,23,0,1,0,35,0,2,0,8,2,0,57,7,0,0,0,0,0,0,205200,368.0
2002-01,Albany Park,3,18,46,30,0,54,17,12,0,1,1,0,0,3,22,38,0,6,0,52,6,5,0,9,2,1,51,2,0,0,0,0,0,0,207100,379.0
