Date,ZillowNeighborhood,ZHVI_t-1,ZHVI_t-2,ZHVI_t-3,ZHVI_t-4,ZHVI_t0,ZHVI_t1
2001-04,Albany Park,190100,187900,185700,183200,190100,192200
2001-05,Albany Park,192200,190100,187900,185700,192200,194300
2001-06,Albany Park,194300,192200,190100,187900,194300,196400
2001-07,Albany Park,196400,194300,192200,190100,196400,198300
2001-08,Albany Park,198300,196400,194300,192200,198300,200000
2001-09,Albany Park,200000,198300,196400,194300,200000,201800
2001-10,Albany Park,201800,200000,198300,196400,201800,203400
2001-11,Albany Park,203400,201800,200000,198300,203400,205200
2001-12,Albany Park,205200,203400,201800,200000,205200,207100
2002-01,Albany Park,207100,205200,203400,201800,207100,209100
2002-02,Albany Park,209100,207100,205200,203400,209100,211100
2002-03,Albany Park,211100,209100,207100,205200,211100,213200
2002-04,Albany Park,213200,211100,209100,207100,213200,215500
2002-05,Albany Park,215500,213200,211100,209100,215500,217800
2002-06,Albany Park,217800,215500,213200,211100,217800,220100
2002-07,Albany Park,220100,217800,215500,213200,220100,222300
2002-08,Albany Park,222300,220100,217800,215500,222300,224400
2002-09,Albany Park,224400,222300,220100,217800,224400,226300
2002-10,Albany Park,226300,224400,222300,220100,226300,228400
2002-11,Albany Park,228400,226300,224400,222300,228400,230300
2002-12,Albany Park,230300,228400,226300,224400,230300,231600
2003-01,Albany Park,231600,230300,228400,226300,231600,232300
2003-02,Albany Park,232300,231600,230300,228400,232300,232900
2003-03,Albany Park,232900,232300,231600,230300,232900,233400
2003-04,Albany Park,233400,232900,232300,231600,233400,233600
2003-05,Albany Park,233600,233400,232900,232300,233600,233700
2003-06,Albany Park,233700,233600,233400,232900,233700,233800
2003-07,Albany Park,233800,233700,233600,233400,233800,234000
2003-08,Albany Park,234000,233800,233700,233600,234000,234400
2003-09,Albany Park,234400,234000,233800,233700,234400,235200
2003-10,Albany Park,235200,234400,234000,233800,235200,236500
2003-11,Albany Park,236500,235200,234400,234000,236500,238300
2003-12,Albany Park,238300,236500,235200,234400,238300,240600
2004-01,Albany Park,240600,238300,236500,235200,240600,243100
2004-02,Albany Park,243100,240600,238300,236500,243100,245400
2004-03,Albany Park,245400,243100,240600,238300,245400,247500
2004-04,Albany Park,247500,245400,243100,240600,247500,249400
2004-05,Albany Park,249400,247500,245400,243100,249400,251300
2004-06,Albany Park,251300,249400,247500,245400,251300,253500
2004-07,Albany Park,253500,251300,249400,247500,253500,256100
2004-08,Albany Park,256100,253500,251300,249400,256100,258800
2004-09,Albany Park,258800,256100,253500,251300,258800,261600
2004-10,Albany Park,261600,258800,256100,253500,261600,263800
2004-11,Albany Park,263800,261600,258800,256100,263800,265800
2004-12,Albany Park,265800,263800,261600,258800,265800,267700
2005-01,Albany Park,267700,265800,263800,261600,267700,269600
2005-02,Albany Park,269600,267700,265800,263800,269600,272100
2005-03,Albany Park,272100,269600,267700,265800,272100,274900
2005-04,Albany Park,274900,272100,269600,267700,274900,277600
2005-05,Albany Park,277600,274900,272100,269600,277600,279900
2005-06,Albany Park,279900,277600,274900,272100,279900,282000
2005-07,Albany Park,282000,279900,277600,274900,282000,283600
2005-08,Albany Park,283600,282000,279900,277600,283600,285000
2005-09,Albany Park,285000,283600,282000,279900,285000,286200
2005-10,Albany Park,286200,285000,283600,282000,286200,287100
2005-11,Albany Park,287100,286200,285000,283600,287100,287800
2005-12,Albany Park,287800,287100,286200,285000,287800,288300
2006-01,Albany Park,288300,287800,287100,286200,288300,288500
2006-02,Albany Park,288500,288300,287800,287100,288500,288800
2006-03,Albany Park,288800,288500,288300,287800,288800,289400
2006-04,Albany Park,289400,288800,288500,288300,289400,289600
2006-05,Albany Park,289600,289400,288800,288500,289600,289700
2006-06,Albany Park,289700,289600,289400,288800,289700,290200
2006-07,Albany Park,290200,289700,289600,289400,290200,290900
2006-08,Albany Park,290900,290200,289700,289600,290900,291700
2006-09,Albany Park,291700,290900,290200,289700,291700,292400
2006-10,Albany Park,292400,291700,290900,290200,292400,292800
2006-11,Albany Park,292800,292400,291700,290900,292800,293200
2006-12,Albany Park,293200,292800,292400,291700,293200,293300
2007-01,Albany Park,293300,293200,292800,292400,293300,292900
2007-02,Albany Park,292900,293300,293200,292800,292900,292800
2007-03,Albany Park,292800,292900,293300,293200,292800,293300
2007-04,Albany Park,293300,292800,292900,293300,293300,293400
2007-05,Albany Park,293400,293300,292800,292900,293400,293300
2007-06,Albany Park,293300,293400,293300,292800,293300,293500
2007-07,Albany Park,293500,293300,293400,293300,293500,293500
2007-08,Albany Park,293500,293500,293300,293400,293500,293900
2007-09,Albany Park,293900,293500,293500,293300,293900,295200
2007-10,Albany Park,295200,293900,293500,293500,295200,296600
2007-11,Albany Park,296600,295200,293900,293500,296600,297400
2007-12,Albany Park,297400,296600,295200,293900,297400,297200
2008-01,Albany Park,297200,297400,296600,295200,297200,295400
2008-02,Albany Park,295400,297200,297400,296600,295400,293400
2008-03,Albany Park,293400,295400,297200,297400,293400,291300
2008-04,Albany Park,291300,293400,295400,297200,291300,288000
2008-05,Albany Park,288000,291300,293400,295400,288000,283700
2008-06,Albany Park,283700,288000,291300,293400,283700,279300
2008-07,Albany Park,279300,283700,288000,291300,279300,274700
2008-08,Albany Park,274700,279300,283700,288000,274700,270400
2008-09,Albany Park,270400,274700,279300,283700,270400,266800
2008-10,Albany Park,266800,270400,274700,279300,266800,263200
2008-11,Albany Park,263200,266800,270400,274700,263200,259400
2008-12,Albany Park,259400,263200,266800,270400,259400,255600
2009-01,Albany Park,255600,259400,263200,266800,255600,251400
2009-02,Albany Park,251400,255600,259400,263200,251400,247500
2009-03,Albany Park,247500,251400,255600,259400,247500,243700
2009-04,Albany Park,243700,247500,251400,255600,243700,238800
2009-05,Albany Park,238800,243700,247500,251400,238800,233900
2009-06,Albany Park,233900,238800,243700,247500,233900,230100
2009-07,Albany Park,230100,233900,238800,243700,230100,226900
2009-08,Albany Park,226900,230100,233900,238800,226900,223800
2009-09,Albany Park,223800,226900,230100,233900,223800,221300
2009-10,Albany Park,221300,223800,226900,230100,221300,219200
2009-11,Albany Park,219200,221300,223800,226900,219200,216100
2009-12,Albany Park,216100,219200,221300,223800,216100,214100
2010-01,Albany Park,214100,216100,219200,221300,214100,215200
2010-02,Albany Park,215200,214100,216100,219200,215200,213400
2010-03,Albany Park,213400,215200,214100,216100,213400,207900
2010-04,Albany Park,207900,213400,215200,214100,207900,205700
2010-05,Albany Park,205700,207900,213400,215200,205700,206500
2010-06,Albany Park,206500,205700,207900,213400,206500,205900
2010-07,Albany Park,205900,206500,205700,207900,205900,205400
2010-08,Albany Park,205400,205900,206500,205700,205400,204500
2010-09,Albany Park,204500,205400,205900,206500,204500,202600
2010-10,Albany Park,202600,204500,205400,205900,202600,200300
2010-11,Albany Park,200300,202600,204500,205400,200300,198100
2010-12,Albany Park,198100,200300,202600,204500,198100,196900
2011-01,Albany Park,196900,198100,200300,202600,196900,196500
2011-02,Albany Park,196500,196900,198100,200300,196500,196100
2011-03,Albany Park,196100,196500,196900,198100,196100,195300
2011-04,Albany Park,195300,196100,196500,196900,195300,194100
2011-05,Albany Park,194100,195300,196100,196500,194100,191100
2011-06,Albany Park,191100,194100,195300,196100,191100,187600
2011-07,Albany Park,187600,191100,194100,195300,187600,184200
2011-08,Albany Park,184200,187600,191100,194100,184200,180300
2011-09,Albany Park,180300,184200,187600,191100,180300,176000
2011-10,Albany Park,176000,180300,184200,187600,176000,172900
2011-11,Albany Park,172900,176000,180300,184200,172900,172000
2011-12,Albany Park,172000,172900,176000,180300,172000,170200
2012-01,Albany Park,170200,172000,172900,176000,170200,167000
2012-02,Albany Park,167000,170200,172000,172900,167000,165300
2012-03,Albany Park,165300,167000,170200,172000,165300,165400
2012-04,Albany Park,165400,165300,167000,170200,165400,165200
2012-05,Albany Park,165200,165400,165300,167000,165200,164900
2012-06,Albany Park,164900,165200,165400,165300,164900,165200
2012-07,Albany Park,165200,164900,165200,165400,165200,166200
2012-08,Albany Park,166200,165200,164900,165200,166200,167500
2012-09,Albany Park,167500,166200,165200,164900,167500,168000
2012-10,Albany Park,168000,167500,166200,165200,168000,168000
2012-11,Albany Park,168000,168000,167500,166200,168000,168700
2012-12,Albany Park,168700,168000,168000,167500,168700,170200
2013-01,Albany Park,170200,168700,168000,168000,170200,171200
2013-02,Albany Park,171200,170200,168700,168000,171200,171600
2013-03,Albany Park,171600,171200,170200,168700,171600,173200
2013-04,Albany Park,173200,171600,171200,170200,173200,175800
2013-05,Albany Park,175800,173200,171600,171200,175800,179400
2013-06,Albany Park,179400,175800,173200,171600,179400,183600
2013-07,Albany Park,183600,179400,175800,173200,183600,186600
2013-08,Albany Park,186600,183600,179400,175800,186600,189400
2013-09,Albany Park,189400,186600,183600,179400,189400,192600
2013-10,Albany Park,192600,189400,186600,183600,192600,194600
2013-11,Albany Park,194600,192600,189400,186600,194600,195400
2013-12,Albany Park,195400,194600,192600,189400,195400,195800
2014-01,Albany Park,195800,195400,194600,192600,195800,196000
