Date,ZillowNeighborhood,ZHVI_t-1,ZHVI_t-2,ZHVI_t-3,ZHVI_t-4,ZHVI_t-5,ZHVI_t-6,ZHVI_t0,ZHVI_t1,ZHVI_t2
2001-06,Lake View,313800,312900,311900,311000,309900,308500,313800,314900,316000
2001-07,Lake View,314900,313800,312900,311900,311000,309900,314900,316000,317200
2001-08,Lake View,316000,314900,313800,312900,311900,311000,316000,317200,318500
2001-09,Lake View,317200,316000,314900,313800,312900,311900,317200,318500,319800
2001-10,Lake View,318500,317200,316000,314900,313800,312900,318500,319800,321200
2001-11,Lake View,319800,318500,317200,316000,314900,313800,319800,321200,322600
2001-12,Lake View,321200,319800,318500,317200,316000,314900,321200,322600,324000
2002-01,Lake View,322600,321200,319800,318500,317200,316000,322600,324000,325400
2002-02,Lake View,324000,322600,321200,319800,318500,317200,324000,325400,326700
2002-03,Lake View,325400,324000,322600,321200,319800,318500,325400,326700,327700
2002-04,Lake View,326700,325400,324000,322600,321200,319800,326700,327700,328700
2002-05,Lake View,327700,326700,325400,324000,322600,321200,327700,328700,329600
2002-06,Lake View,328700,327700,326700,325400,324000,322600,328700,329600,330500
2002-07,Lake View,329600,328700,327700,326700,325400,324000,329600,330500,331600
2002-08,Lake View,330500,329600,328700,327700,326700,325400,330500,331600,332700
2002-09,Lake View,331600,330500,329600,328700,327700,326700,331600,332700,333900
2002-10,Lake View,332700,331600,330500,329600,328700,327700,332700,333900,335400
2002-11,Lake View,333900,332700,331600,330500,329600,328700,333900,335400,337100
2002-12,Lake View,335400,333900,332700,331600,330500,329600,335400,337100,338800
2003-01,Lake View,337100,335400,333900,332700,331600,330500,337100,338800,340300
2003-02,Lake View,338800,337100,335400,333900,332700,331600,338800,340300,341700
2003-03,Lake View,340300,338800,337100,335400,333900,332700,340300,341700,342800
2003-04,Lake View,341700,340300,338800,337100,335400,333900,341700,342800,343800
2003-05,Lake View,342800,341700,340300,338800,337100,335400,342800,343800,344600
2003-06,Lake View,343800,342800,341700,340300,338800,337100,343800,344600,345400
2003-07,Lake View,344600,343800,342800,341700,340300,338800,344600,345400,346200
2003-08,Lake View,345400,344600,343800,342800,341700,340300,345400,346200,347200
2003-09,Lake View,346200,345400,344600,343800,342800,341700,346200,347200,348300
2003-10,Lake View,347200,346200,345400,344600,343800,342800,347200,348300,349700
2003-11,Lake View,348300,347200,346200,345400,344600,343800,348300,349700,351400
2003-12,Lake View,349700,348300,347200,346200,345400,344600,349700,351400,353300
2004-01,Lake View,351400,349700,348300,347200,346200,345400,351400,353300,355500
2004-02,Lake View,353300,351400,349700,348300,347200,346200,353300,355500,357800
2004-03,Lake View,355500,353300,351400,349700,348300,347200,355500,357800,360200
2004-04,Lake View,357800,355500,353300,351400,349700,348300,357800,360200,362600
2004-05,Lake View,360200,357800,355500,353300,351400,349700,360200,362600,365100
2004-06,Lake View,362600,360200,357800,355500,353300,351400,362600,365100,367500
2004-07,Lake View,365100,362600,360200,357800,355500,353300,365100,367500,369900
2004-08,Lake View,367500,365100,362600,360200,357800,355500,367500,369900,372100
2004-09,Lake View,369900,367500,365100,362600,360200,357800,369900,372100,374000
2004-10,Lake View,372100,369900,367500,365100,362600,360200,372100,374000,375500
2004-11,Lake View,374000,372100,369900,367500,365100,362600,374000,375500,376500
2004-12,Lake View,375500,374000,372100,369900,367500,365100,375500,376500,377200
2005-01,Lake View,376500,375500,374000,372100,369900,367500,376500,377200,377900
2005-02,Lake View,377200,376500,375500,374000,372100,369900,377200,377900,378900
2005-03,Lake View,377900,377200,376500,375500,374000,372100,377900,378900,380300
2005-04,Lake View,378900,377900,377200,376500,375500,374000,378900,380300,382100
2005-05,Lake View,380300,378900,377900,377200,376500,375500,380300,382100,384100
2005-06,Lake View,382100,380300,378900,377900,377200,376500,382100,384100,386200
2005-07,Lake View,384100,382100,380300,378900,377900,377200,384100,386200,388300
2005-08,Lake View,386200,384100,382100,380300,378900,377900,386200,388300,390400
2005-09,Lake View,388300,386200,384100,382100,380300,378900,388300,390400,392300
2005-10,Lake View,390400,388300,386200,384100,382100,380300,390400,392300,393900
2005-11,Lake View,392300,390400,388300,386200,384100,382100,392300,393900,395200
2005-12,Lake View,393900,392300,390400,388300,386200,384100,393900,395200,396200
2006-01,Lake View,395200,393900,392300,390400,388300,386200,395200,396200,397000
2006-02,Lake View,396200,395200,393900,392300,390400,388300,396200,397000,397600
2006-03,Lake View,397000,396200,395200,393900,392300,390400,397000,397600,397800
2006-04,Lake View,397600,397000,396200,395200,393900,392300,397600,397800,397700
2006-05,Lake View,397800,397600,397000,396200,395200,393900,397800,397700,397400
2006-06,Lake View,397700,397800,397600,397000,396200,395200,397700,397400,396800
2006-07,Lake View,397400,397700,397800,397600,397000,396200,397400,396800,396200
2006-08,Lake View,396800,397400,397700,397800,397600,397000,396800,396200,395800
2006-09,Lake View,396200,396800,397400,397700,397800,397600,396200,395800,395600
2006-10,Lake View,395800,396200,396800,397400,397700,397800,395800,395600,395500
2006-11,Lake View,395600,395800,396200,396800,397400,397700,395600,395500,395500
2006-12,Lake View,395500,395600,395800,396200,396800,397400,395500,395500,395600
2007-01,Lake View,395500,395500,395600,395800,396200,396800,395500,395600,395500
2007-02,Lake View,395600,395500,395500,395600,395800,396200,395600,395500,395100
2007-03,Lake View,395500,395600,395500,395500,395600,395800,395500,395100,394300
2007-04,Lake View,395100,395500,395600,395500,395500,395600,395100,394300,393300
2007-05,Lake View,394300,395100,395500,395600,395500,395500,394300,393300,392500
2007-06,Lake View,393300,394300,395100,395500,395600,395500,393300,392500,391800
2007-07,Lake View,392500,393300,394300,395100,395500,395600,392500,391800,391200
2007-08,Lake View,391800,392500,393300,394300,395100,395500,391800,391200,390800
2007-09,Lake View,391200,391800,392500,393300,394300,395100,391200,390800,390000
2007-10,Lake View,390800,391200,391800,392500,393300,394300,390800,390000,388700
2007-11,Lake View,390000,390800,391200,391800,392500,393300,390000,388700,387000
2007-12,Lake View,388700,390000,390800,391200,391800,392500,388700,387000,385300
2008-01,Lake View,387000,388700,390000,390800,391200,391800,387000,385300,383800
2008-02,Lake View,385300,387000,388700,390000,390800,391200,385300,383800,382400
2008-03,Lake View,383800,385300,387000,388700,390000,390800,383800,382400,380900
2008-04,Lake View,382400,383800,385300,387000,388700,390000,382400,380900,379400
2008-05,Lake View,380900,382400,383800,385300,387000,388700,380900,379400,377300
2008-06,Lake View,379400,380900,382400,383800,385300,387000,379400,377300,374700
2008-07,Lake View,377300,379400,380900,382400,383800,385300,377300,374700,372100
2008-08,Lake View,374700,377300,379400,380900,382400,383800,374700,372100,370100
2008-09,Lake View,372100,374700,377300,379400,380900,382400,372100,370100,368300
2008-10,Lake View,370100,372100,374700,377300,379400,380900,370100,368300,366300
2008-11,Lake View,368300,370100,372100,374700,377300,379400,368300,366300,364300
2008-12,Lake View,366300,368300,370100,372100,374700,377300,366300,364300,362500
2009-01,Lake View,364300,366300,368300,370100,372100,374700,364300,362500,360200
2009-02,Lake View,362500,364300,366300,368300,370100,372100,362500,360200,357100
2009-03,Lake View,360200,362500,364300,366300,368300,370100,360200,357100,353500
2009-04,Lake View,357100,360200,362500,364300,366300,368300,357100,353500,350200
2009-05,Lake View,353500,357100,360200,362500,364300,366300,353500,350200,348200
2009-06,Lake View,350200,353500,357100,360200,362500,364300,350200,348200,347400
2009-07,Lake View,348200,350200,353500,357100,360200,362500,348200,347400,347300
2009-08,Lake View,347400,348200,350200,353500,357100,360200,347400,347300,348000
2009-09,Lake View,347300,347400,348200,350200,353500,357100,347300,348000,348900
2009-10,Lake View,348000,347300,347400,348200,350200,353500,348000,348900,350100
2009-11,Lake View,348900,348000,347300,347400,348200,350200,348900,350100,351400
2009-12,Lake View,350100,348900,348000,347300,347400,348200,350100,351400,352500
2010-01,Lake View,351400,350100,348900,348000,347300,347400,351400,352500,352300
2010-02,Lake View,352500,351400,350100,348900,348000,347300,352500,352300,351600
2010-03,Lake View,352300,352500,351400,350100,348900,348000,352300,351600,352100
2010-04,Lake View,351600,352300,352500,351400,350100,348900,351600,352100,352300
2010-05,Lake View,352100,351600,352300,352500,351400,350100,352100,352300,349700
2010-06,Lake View,352300,352100,351600,352300,352500,351400,352300,349700,346400
2010-07,Lake View,349700,352300,352100,351600,352300,352500,349700,346400,343600
2010-08,Lake View,346400,349700,352300,352100,351600,352300,346400,343600,339500
2010-09,Lake View,343600,346400,349700,352300,352100,351600,343600,339500,335900
2010-10,Lake View,339500,343600,346400,349700,352300,352100,339500,335900,333100
2010-11,Lake View,335900,339500,343600,346400,349700,352300,335900,333100,331700
2010-12,Lake View,333100,335900,339500,343600,346400,349700,333100,331700,331000
2011-01,Lake View,331700,333100,335900,339500,343600,346400,331700,331000,329300
2011-02,Lake View,331000,331700,333100,335900,339500,343600,331000,329300,326000
2011-03,Lake View,329300,331000,331700,333100,335900,339500,329300,326000,322800
2011-04,Lake View,326000,329300,331000,331700,333100,335900,326000,322800,320200
2011-05,Lake View,322800,326000,329300,331000,331700,333100,322800,320200,319000
2011-06,Lake View,320200,322800,326000,329300,331000,331700,320200,319000,318900
2011-07,Lake View,319000,320200,322800,326000,329300,331000,319000,318900,318500
2011-08,Lake View,318900,319000,320200,322800,326000,329300,318900,318500,318300
2011-09,Lake View,318500,318900,319000,320200,322800,326000,318500,318300,318200
2011-10,Lake View,318300,318500,318900,319000,320200,322800,318300,318200,319200
2011-11,Lake View,318200,318300,318500,318900,319000,320200,318200,319200,318800
2011-12,Lake View,319200,318200,318300,318500,318900,319000,319200,318800,316400
